1.01K 1:29 43ms futex
215.00 415us 965ns recvfrom
141.00 212us 752ns sched_yield
73.00 3.55ms 24us sendto
69.00 61ms 443us ppoll
59.00  19.94s  169ms io_getevents
48.00 503us 5.24us io_submit
39.00 49ms 639us fsync
25.00 656us 13us pwrite
24.00 39us 825ns setsockopt
24.00 9.51us 198ns getpid
20.50 Ons Ons sysdigevent
15.00 2.00s 66ms nanosleep
12.00 10us 454ns close
12.00 12us 528ns gettid
12.00 14us 607ns getpeername
12.00 119us 4.98us accept
12.00 15.88s 661ms poll
12.00 463us 19us shutdown
3.00 93us 15us write
3.00 3.13ms 522us fdatasync
2.00 2.00s 500ms epoll_wait
2.00 4.10us 1.02us sched_getaffinity
2.00 21lus 5.28us getrusage
1.00 4.56us 2.28us <unknown>
1.00 10us 5.43us mmap
1.00 47us 23us munmap
